epoch;accuracy;loss;val_accuracy;val_loss
0;0.3649784028530121;2.21020770072937;0.33769768476486206;2.6471426486968994
1;0.7656925320625305;0.7137090563774109;0.6871280670166016;1.3310105800628662
2;0.88214111328125;0.360660195350647;0.5737119317054749;1.9520097970962524
3;0.9213573932647705;0.2527804672718048;0.6702941656112671;1.417434573173523
4;0.9363298416137695;0.20058687031269073;0.7903417944908142;0.7804699540138245
5;0.9506421089172363;0.15566101670265198;0.8495153784751892;0.535563051700592
6;0.9536426067352295;0.1440228819847107;0.8649889230728149;0.45702245831489563
7;0.9580233097076416;0.1349339783191681;0.9199115633964539;0.2873792052268982
8;0.9632741212844849;0.11795976012945175;0.8149974346160889;1.1782736778259277
9;0.9679548740386963;0.10241034626960754;0.889984667301178;0.49775952100753784
10;0.9665446281433105;0.1137859895825386;0.9494983553886414;0.15667881071567535
11;0.9736858010292053;0.0858241468667984;0.9430369138717651;0.18171235918998718
12;0.9712854027748108;0.09500191360712051;0.9355551600456238;0.2157442569732666
13;0.9723955988883972;0.09251047670841217;0.9406563639640808;0.21281740069389343
14;0.9804368615150452;0.06470714509487152;0.9387859106063843;0.20237910747528076
15;0.9768062829971313;0.0801410898566246;0.9661622047424316;0.10364712029695511
16;0.9771963357925415;0.08162446320056915;0.9605509042739868;0.12487458437681198
17;0.9827172160148621;0.0549917072057724;0.9705832600593567;0.09207864850759506
18;0.9834073185920715;0.059226322919130325;0.9588505625724792;0.13713212311267853
19;0.9700251817703247;0.1089753583073616;0.9719435572624207;0.09503044933080673
20;0.9858977198600769;0.04548368230462074;0.9753443002700806;0.07687567174434662
21;0.9880281090736389;0.037846293300390244;0.969222903251648;0.09513135999441147
22;0.9861677885055542;0.048244476318359375;0.7075327038764954;1.8991217613220215
23;0.9865878820419312;0.044136952608823776;0.9704132080078125;0.09583930671215057
24;0.9843074679374695;0.05660361051559448;0.929943859577179;0.29759931564331055
