epoch;accuracy;loss;val_accuracy;val_loss
0;0.06409025192260742;3.912921905517578;0.05951368808746338;3.637779474258423
1;0.10381661355495453;3.388948678970337;0.12259820103645325;3.3403103351593018
2;0.14030244946479797;3.1683924198150635;0.17241965234279633;3.1529617309570312
3;0.20709313452243805;2.8470423221588135;0.2322734296321869;2.915943145751953
4;0.2836053669452667;2.468477487564087;0.3103213608264923;2.3605453968048096
5;0.3629080653190613;2.1212241649627686;0.3950008451938629;2.0684726238250732
6;0.4443711042404175;1.7994133234024048;0.46607720851898193;1.8456447124481201
7;0.5162326097488403;1.5348788499832153;0.5505866408348083;1.4315333366394043
8;0.5873739719390869;1.2826744318008423;0.6072096824645996;1.254181981086731
9;0.6478336453437805;1.0698009729385376;0.6713144183158875;0.9732953310012817
10;0.7036125659942627;0.8883858323097229;0.7298078536987305;0.800915002822876
11;0.749099850654602;0.7508265376091003;0.75667405128479;0.7836402654647827
12;0.797497570514679;0.6114229559898376;0.7913619875907898;0.64676433801651
13;0.8263621926307678;0.5213712453842163;0.8360822796821594;0.5470430254936218
14;0.8580473065376282;0.42990151047706604;0.8530862331390381;0.4235495626926422
15;0.8785105347633362;0.3671092689037323;0.8768916726112366;0.3587268888950348
16;0.9001139998435974;0.30494654178619385;0.8865839242935181;0.3418906331062317
17;0.9116958975791931;0.27184730768203735;0.8847134709358215;0.35401996970176697
18;0.9190770387649536;0.24833831191062927;0.9239925146102905;0.24613574147224426
19;0.9285585880279541;0.2222081869840622;0.9290937185287476;0.21257275342941284
20;0.9314390420913696;0.20953361690044403;0.934364914894104;0.20108070969581604
21;0.9421207308769226;0.17679017782211304;0.9326645135879517;0.20246464014053345
22;0.9473716020584106;0.16296878457069397;0.9416765570640564;0.17277075350284576
23;0.9528624415397644;0.14323656260967255;0.9581703543663025;0.13177037239074707
24;0.9555628895759583;0.13272625207901;0.9440571069717407;0.1745293289422989
25;0.960513710975647;0.12104900926351547;0.9518789052963257;0.1411498486995697
26;0.9530124664306641;0.15693925321102142;0.9603809118270874;0.11995100975036621
27;0.9607236981391907;0.12022363394498825;0.9549396634101868;0.13712897896766663
28;0.9701152443885803;0.09270273149013519;0.9494983553886414;0.15040037035942078
29;0.9684949517250061;0.09715119749307632;0.9670124053955078;0.11003907024860382
