epoch;accuracy;loss;val_accuracy;val_loss
0;0.40659505128860474;2.0543344020843506;0.4155755937099457;2.880310297012329
1;0.7913765907287598;0.6317063570022583;0.8131270408630371;0.6199450492858887
2;0.898013710975647;0.3146434724330902;0.8876041769981384;0.37447842955589294
3;0.9307188987731934;0.2154504805803299;0.8386328816413879;0.529118001461029
4;0.9444911479949951;0.17245987057685852;0.8770617246627808;0.43666741251945496
5;0.9489018321037292;0.15940570831298828;0.9131100177764893;0.28014621138572693
6;0.9593135118484497;0.13088642060756683;0.8797823786735535;0.38620156049728394
7;0.9656144976615906;0.10954039543867111;0.8382928371429443;0.619877815246582
8;0.9657045006752014;0.11003071069717407;0.9088590145111084;0.3059932291507721
9;0.9654344916343689;0.11591390520334244;0.9460976123809814;0.1865016669034958
10;0.9747359752655029;0.07989755272865295;0.7896616458892822;0.8059925436973572
11;0.9745859503746033;0.08281628787517548;0.9406563639640808;0.19513602554798126
12;0.9786065816879272;0.07183238118886948;0.8796123266220093;0.4464792311191559
13;0.9773163795471191;0.07048860937356949;0.9668423533439636;0.10727509111166
14;0.9818170666694641;0.060718413442373276;0.9377656579017639;0.2178710401058197
15;0.9717354774475098;0.1018291637301445;0.6505696177482605;5.180436134338379
16;0.9801668524742126;0.06458441913127899;0.9426968097686768;0.18347221612930298
17;0.9832572937011719;0.05459951236844063;0.9493283629417419;0.17910361289978027
18;0.9853576421737671;0.047426413744688034;0.9682027101516724;0.11650539934635162
19;0.9833173155784607;0.05461057275533676;0.34841012954711914;9.071088790893555
20;0.9821171164512634;0.057189468294382095;0.9659921526908875;0.10465873777866364
21;0.9872479438781738;0.03884170576930046;0.9802754521369934;0.06299929320812225
22;0.9854176640510559;0.05289330333471298;0.9501785635948181;0.17283183336257935
23;0.9801368117332458;0.07146287709474564;0.9411664605140686;0.18999627232551575
24;0.9884481430053711;0.036727339029312134;0.9755143523216248;0.0881815180182457
25;0.9885381460189819;0.03630464896559715;0.9763645529747009;0.08882653713226318
26;0.9899783730506897;0.032659512013196945;0.9824859499931335;0.060377415269613266
27;0.9906085133552551;0.03238143026828766;0.9382758140563965;0.2538467049598694
28;0.9881480932235718;0.0372234471142292;0.9823159575462341;0.058585867285728455
29;0.9905784726142883;0.030475275591015816;0.9777248501777649;0.06730730831623077
